Dataset,K,Smoothness,1-step Latent,1-step Pixel,Rollout Latent,Rollout Pixel
dataset1,16,0.3354847552254796,0.00018920714428531936,0.0020371796908875694,0.0002887634087528568,0.0031094793310330717
dataset1,32,0.27593762800097466,0.000187712476872548,0.00173425119555759,0.00024712143294891575,0.00231262382294517
dataset2,16,0.28869882971048355,8.944077017076779e-05,0.0005789205399196363,0.00014427164423977957,0.001102034895302495
dataset2,32,0.37949190437793734,6.819697919127065e-05,0.0006738908312399871,0.00015640648343833162,0.0012856938235927373
dataset3,16,0.3136852368712425,0.0002319261882803403,0.0012130360926676075,0.00039057092253642623,0.0027708523339242674
dataset3,32,0.3311422899365425,0.00042913625948131083,0.002681456800928572,0.0017606464360142126,0.01217136356717674
